Course Code,Course Title,HE Institution,Course Level,Category,2021,2022,2023,2024,2025,2026
AC120,International Business,American College,8,Business and administration,294.0,218.0,218.0,269.0,278.0,280.0
AC137,Liberal Arts,American College,8,Humanities (except languages),271.0,244.0,269.0,254.0,293.0,279.0
AD101,First Year Art and Design  (Common Entry -  portfolio),National College of Art and Design,8,Arts,554.0,529.0,559.0,512.0,515.0,533.0
AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,8,Arts,538.0,506.0,638.0,694.0,538.0,621.0
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),National College of Art and Design,8,Arts,505.0,484.0,558.0,568.0,514.0,503.0
AD104,Fine Art and Applied Art (portfolio),National College of Art and Design,8,Arts,,,,524.0,582.0,691.0
AD202,Education and Art  or Design (Second Level Teaching - portfolio),National College of Art and Design,8,Education,591.0,593.0,554.0,605.0,600.0,633.0
AD211,Fashion Design (portfolio),National College of Art and Design,8,Arts,760.0,638.0,700.0,695.0,604.0,721.0
AD212,Product Design (portfolio),National College of Art and Design,8,Arts,413.0,486.0,458.0,426.0,413.0,531.0
AD215,Visual Culture,National College of Art and Design,8,Arts,337.0,350.0,337.0,319.0,316.0,353.0
AD217,Illustration (portfolio),National College of Art and Design,8,Arts,738.0,670.0,714.0,727.0,657.0,603.0
AD222,Interaction Design (portfolio),National College of Art and Design,8,Information and Communication Technologies (ICTs),444.0,605.0,550.0,893.0,400.0,391.0
AU170,Health Science with Physiotherapy Studies,Atlantic Technological University,6,Health,,,466.0,467.0,522.0,488.0
AU171,Health Science with Occupational Therapy Studies,Atlantic Technological University,6,Health,,,462.0,437.0,490.0,487.0
AU172,Health Science with Dietetics Studies,Atlantic Technological University,6,Health,,,316.0,320.0,359.0,357.0
AU173,Dental Nursing,Atlantic Technological University,6,Health,,,328.0,253.0,232.0,274.0
AU174,Pharmacy Technician,Atlantic Technological University,6,Health,,,210.0,201.0,232.0,233.0
AU190,"Early Childhood Care, Health and Education",Atlantic Technological University,6,Welfare,,,161.0,170.0,163.0,232.0
AU200,Business - Common Entry,Atlantic Technological University,7,Business and administration,,,224.0,233.0,178.0,188.0
AU210,Law with Criminal Justice,Atlantic Technological University,7,Law,,,206.0,204.0,232.0,231.0
AU220,Culinary Arts,Atlantic Technological University,7,Personal services,,,196.0,160.0,187.0,238.0
AU221,Tourism and Hospitality Operations,Atlantic Technological University,7,Personal services,,,178.0,222.0,262.0,187.0
